Data;Palazzo Cavalli Pressione;Palazzo Cavalli Temperatura;Palazzo Cavalli Umidita';Palazzo Cavalli Radiazione solare;Palazzo Cavalli Pioggia 5m
2024-09-18 00:00:00;1017.0;17.7;59;0;0.0
2024-09-18 00:05:00;1017.1;17.7;59;0;0.0
2024-09-18 00:10:00;1017.2;17.7;59;0;0.0
2024-09-18 00:15:00;1017.1;17.8;59;0;0.0
2024-09-18 00:20:00;1017.0;17.8;59;0;0.0
2024-09-18 00:25:00;1016.9;17.8;59;0;0.0
2024-09-18 00:30:00;1017.0;17.8;59;0;0.0
2024-09-18 00:35:00;1017.0;17.8;59;0;0.0
2024-09-18 00:40:00;1017.0;17.8;59;0;0.0
2024-09-18 00:45:00;1017.2;17.7;59;0;0.0
2024-09-18 00:50:00;1017.2;17.8;58;0;0.0
2024-09-18 00:55:00;1017.2;17.8;57;0;0.0
2024-09-18 01:00:00;1017.2;17.7;58;0;0.0
2024-09-18 01:05:00;1016.9;17.8;58;0;0.0
2024-09-18 01:10:00;1016.8;17.8;58;0;0.0
2024-09-18 01:15:00;1016.8;17.9;58;0;0.0
2024-09-18 01:20:00;1016.9;18.0;58;;0.0
2024-09-18 01:25:00;1016.9;18.0;58;;0.0
2024-09-18 01:30:00;1016.9;18.0;58;;0.0
2024-09-18 01:35:00;1016.9;18.0;58;;0.0
2024-09-18 01:40:00;1016.9;18.0;57;0;0.0
2024-09-18 01:45:00;1017.0;18.0;58;0;0.0
2024-09-18 01:50:00;1016.9;18.1;58;0;0.0
2024-09-18 01:55:00;1016.9;18.1;57;;0.0
2024-09-18 02:00:00;1016.8;17.9;59;0;0.0
2024-09-18 02:05:00;1016.8;17.7;59;1;0.0
2024-09-18 02:10:00;1016.7;17.6;60;0;0.0
2024-09-18 02:15:00;1016.7;17.4;61;1;0.0
2024-09-18 02:20:00;1016.8;17.3;62;1;0.0
2024-09-18 02:25:00;1016.6;17.3;63;0;0.0
2024-09-18 02:30:00;1016.7;17.3;62;0;0.0
2024-09-18 02:35:00;1016.7;17.3;63;0;0.0
2024-09-18 02:40:00;1016.7;17.2;64;0;0.0
2024-09-18 02:45:00;1016.7;16.8;65;1;0.0
2024-09-18 02:50:00;1016.7;16.4;66;1;0.0
2024-09-18 02:55:00;1016.6;15.6;67;3;0.0
2024-09-18 03:00:00;1016.6;15.3;68;3;0.0
2024-09-18 03:05:00;1016.6;15.5;69;2;0.0
2024-09-18 03:10:00;1016.5;16.2;67;0;0.0
2024-09-18 03:15:00;1016.5;16.5;66;;0.0
2024-09-18 03:20:00;1016.5;16.7;64;;0.0
2024-09-18 03:25:00;1016.4;16.7;64;;0.0
2024-09-18 03:30:00;1016.4;16.8;64;;0.0
2024-09-18 03:35:00;1016.3;16.8;64;;0.0
2024-09-18 03:40:00;1016.4;16.8;63;;0.0
2024-09-18 03:45:00;1016.3;16.8;64;0;0.0
2024-09-18 03:50:00;1016.3;16.7;63;0;0.0
2024-09-18 03:55:00;1016.3;16.7;64;0;0.0
2024-09-18 04:00:00;1016.3;16.7;65;0;0.0
2024-09-18 04:05:00;1016.2;16.7;65;0;0.0
2024-09-18 04:10:00;1016.2;16.7;65;0;0.0
2024-09-18 04:15:00;1016.2;16.6;65;0;0.0
2024-09-18 04:20:00;1016.3;16.7;63;0;0.0
2024-09-18 04:25:00;1016.2;16.6;62;0;0.0
2024-09-18 04:30:00;1016.3;16.6;64;0;0.0
2024-09-18 04:35:00;1016.3;16.5;65;0;0.0
2024-09-18 04:40:00;1016.4;16.6;65;0;0.0
2024-09-18 04:45:00;1016.4;16.5;66;0;0.0
2024-09-18 04:50:00;1016.4;16.4;66;0;0.0
2024-09-18 04:55:00;1016.4;16.4;66;0;0.0
2024-09-18 05:00:00;1016.4;16.4;66;0;0.0
2024-09-18 05:05:00;1016.4;16.4;66;0;0.0
2024-09-18 05:10:00;1016.4;16.4;68;0;0.0
2024-09-18 05:15:00;1016.4;16.4;69;0;0.0
2024-09-18 05:20:00;1016.4;16.4;68;0;0.0
2024-09-18 05:25:00;1016.4;16.5;68;0;0.0
2024-09-18 05:30:00;1016.4;16.5;68;0;0.0
2024-09-18 05:35:00;1016.5;16.7;67;0;0.0
2024-09-18 05:40:00;1016.5;16.7;66;0;0.0
2024-09-18 05:45:00;1016.6;16.6;66;1;0.0
2024-09-18 05:50:00;1016.5;16.7;66;2;0.0
2024-09-18 05:55:00;1016.5;16.8;65;2;0.0
2024-09-18 06:00:00;1016.6;16.9;65;5;0.0
2024-09-18 06:05:00;1016.6;16.8;66;9;0.0
2024-09-18 06:10:00;1016.6;16.7;65;14;0.0
2024-09-18 06:15:00;1016.7;16.8;65;20;0.0
2024-09-18 06:20:00;1016.8;16.8;65;23;0.0
2024-09-18 06:25:00;1016.8;16.9;64;30;0.0
2024-09-18 06:30:00;1016.9;16.9;64;34;0.0
2024-09-18 06:35:00;1016.9;16.9;64;40;0.0
2024-09-18 06:40:00;1016.9;16.8;64;45;0.0
2024-09-18 06:45:00;1017.0;16.9;64;48;0.0
2024-09-18 06:50:00;1016.9;16.9;64;49;0.0
2024-09-18 06:55:00;1016.9;17.0;65;71;0.0
2024-09-18 07:00:00;1016.9;17.0;64;92;0.0
2024-09-18 07:05:00;1016.9;17.1;65;116;0.0
2024-09-18 07:10:00;1017.0;17.3;64;134;0.0
2024-09-18 07:15:00;1016.9;17.4;63;137;0.0
2024-09-18 07:20:00;1016.9;17.5;64;124;0.0
2024-09-18 07:25:00;1016.9;17.5;63;125;0.0
2024-09-18 07:30:00;1016.9;17.5;63;150;0.0
2024-09-18 07:35:00;1017.1;17.6;63;144;0.0
2024-09-18 07:40:00;1017.0;17.6;64;137;0.0
2024-09-18 07:45:00;1017.1;17.7;64;143;0.0
2024-09-18 07:50:00;1017.0;17.8;64;138;0.0
2024-09-18 07:55:00;1017.1;17.9;63;129;0.0
2024-09-18 08:00:00;1017.1;17.8;63;142;0.0
2024-09-18 08:05:00;1017.2;17.9;63;137;0.0
2024-09-18 08:10:00;1017.2;17.9;64;129;0.0
2024-09-18 08:15:00;1017.3;18.1;63;145;0.0
2024-09-18 08:20:00;1017.4;18.2;63;117;0.0
2024-09-18 08:25:00;1017.5;18.3;62;111;0.0
2024-09-18 08:30:00;1017.5;18.4;61;119;0.0
2024-09-18 08:35:00;1017.5;18.5;62;127;0.0
2024-09-18 08:40:00;1017.5;18.5;63;131;0.0
2024-09-18 08:45:00;1017.4;18.6;63;112;0.0
2024-09-18 08:50:00;1017.4;18.7;61;113;0.0
2024-09-18 08:55:00;1017.4;18.8;60;133;0.0
2024-09-18 09:00:00;1017.4;18.8;60;135;0.0
2024-09-18 09:05:00;1017.4;18.9;61;111;0.0
2024-09-18 09:10:00;1017.4;19.0;60;98;0.0
2024-09-18 09:15:00;1017.5;19.0;62;91;0.0
2024-09-18 09:20:00;1017.4;18.9;63;100;0.0
2024-09-18 09:25:00;1017.4;18.9;64;115;0.0
2024-09-18 09:30:00;1017.4;19.0;63;128;0.0
2024-09-18 09:35:00;1017.4;19.2;62;136;0.0
2024-09-18 09:40:00;1017.4;19.2;62;117;0.0
2024-09-18 09:45:00;1017.5;19.2;63;108;0.0
