Data;P. Salute Liv.Idrom. medio 1m;P. Salute Temp. Acqua
2024-06-18 00:00:00;0.21;24.2
2024-06-18 00:05:00;0.19;24.2
2024-06-18 00:10:00;0.17;24.2
2024-06-18 00:15:00;0.16;24.2
2024-06-18 00:20:00;0.15;24.2
2024-06-18 00:25:00;0.14;24.2
2024-06-18 00:30:00;0.12;24.2
2024-06-18 00:35:00;0.11;24.2
2024-06-18 00:40:00;0.10;24.2
2024-06-18 00:41:00;0.1;24.2
2024-06-18 00:45:00;0.09;24.2
2024-06-18 00:50:00;0.08;24.2
2024-06-18 00:55:00;0.06;24.2
2024-06-18 01:00:00;0.05;24.2
2024-06-18 01:05:00;0.04;24.2
2024-06-18 01:10:00;0.02;24.1
2024-06-18 01:15:00;0.02;24.1
2024-06-18 01:20:00;0.01;24.1
2024-06-18 01:25:00;0.00;24.1
2024-06-18 01:26:00;0;24.1
2024-06-18 01:30:00;-0.01;24.1
2024-06-18 01:35:00;-0.01;24.1
2024-06-18 01:40:00;-0.02;24.1
2024-06-18 01:45:00;-0.03;24.1
2024-06-18 01:50:00;-0.03;24.1
2024-06-18 01:55:00;-0.04;24.1
2024-06-18 02:00:00;-0.05;24.1
2024-06-18 02:05:00;-0.05;24.1
2024-06-18 02:10:00;-0.06;24.1
2024-06-18 02:11:00;-0.06;24.1
2024-06-18 02:15:00;-0.06;24.1
2024-06-18 02:20:00;-0.07;24.1
2024-06-18 02:25:00;-0.07;24.1
2024-06-18 02:30:00;-0.07;24.1
2024-06-18 02:35:00;-0.08;24.1
2024-06-18 02:40:00;-0.08;24.0
2024-06-18 02:45:00;-0.08;24.1
2024-06-18 02:50:00;-0.08;24.0
2024-06-18 02:55:00;-0.08;24.0
2024-06-18 02:56:00;-0.08;24
2024-06-18 03:00:00;-0.08;24.0
2024-06-18 03:05:00;-0.08;24.0
2024-06-18 03:10:00;-0.08;24.0
2024-06-18 03:15:00;-0.08;24.0
2024-06-18 03:20:00;-0.07;24.0
2024-06-18 03:25:00;-0.07;24.0
2024-06-18 03:30:00;-0.07;24.0
2024-06-18 03:35:00;-0.07;24.0
2024-06-18 03:40:00;-0.07;24.0
2024-06-18 03:41:00;-0.07;24
2024-06-18 03:45:00;-0.06;24.0
2024-06-18 03:50:00;-0.05;24.0
2024-06-18 03:55:00;-0.05;24.0
2024-06-18 04:00:00;-0.04;24.0
2024-06-18 04:05:00;-0.03;24.0
2024-06-18 04:10:00;-0.02;24.0
2024-06-18 04:15:00;-0.01;24.0
2024-06-18 04:20:00;0.00;24.0
2024-06-18 04:25:00;0.00;24.0
2024-06-18 04:26:00;0;24
2024-06-18 04:30:00;0.02;24.1
2024-06-18 04:35:00;0.02;24.1
2024-06-18 04:40:00;0.03;24.2
2024-06-18 04:45:00;0.04;24.2
2024-06-18 04:50:00;0.05;24.2
2024-06-18 04:55:00;0.06;24.2
2024-06-18 05:00:00;0.08;24.3
2024-06-18 05:05:00;0.09;24.3
2024-06-18 05:10:00;0.11;24.3
2024-06-18 05:11:00;0.11;24.3
2024-06-18 05:15:00;0.12;24.3
2024-06-18 05:20:00;0.13;24.3
2024-06-18 05:25:00;0.15;24.3
2024-06-18 05:30:00;0.16;24.3
2024-06-18 05:35:00;0.17;24.3
2024-06-18 05:40:00;0.18;24.3
2024-06-18 05:45:00;0.20;24.3
2024-06-18 05:50:00;0.21;24.3
2024-06-18 05:55:00;0.22;24.2
2024-06-18 05:56:00;0.22;24.2
2024-06-18 06:00:00;0.23;24.2
2024-06-18 06:05:00;0.25;24.2
2024-06-18 06:10:00;0.27;24.3
2024-06-18 06:15:00;0.28;24.3
2024-06-18 06:20:00;0.29;24.4
2024-06-18 06:25:00;0.30;24.3
2024-06-18 06:30:00;0.31;24.3
2024-06-18 06:35:00;0.32;24.3
2024-06-18 06:40:00;0.33;24.3
2024-06-18 06:41:00;0.33;24.3
2024-06-18 06:45:00;0.34;24.3
2024-06-18 06:50:00;0.35;24.3
2024-06-18 06:55:00;0.36;24.3
2024-06-18 07:00:00;0.38;24.3
2024-06-18 07:05:00;0.39;24.3
2024-06-18 07:10:00;0.39;24.3
2024-06-18 07:15:00;0.40;24.3
2024-06-18 07:20:00;0.41;24.3
2024-06-18 07:25:00;0.42;24.3
2024-06-18 07:26:00;0.42;24.3
2024-06-18 07:30:00;0.43;24.3
2024-06-18 07:35:00;0.44;24.3
2024-06-18 07:40:00;0.45;24.3
2024-06-18 07:45:00;0.46;24.2
2024-06-18 07:50:00;0.46;24.2
2024-06-18 07:55:00;0.47;24.1
2024-06-18 08:00:00;0.48;24.1
2024-06-18 08:05:00;0.48;24.1
2024-06-18 08:10:00;0.49;24.1
2024-06-18 08:11:00;0.49;24.1
2024-06-18 08:15:00;0.49;24.1
2024-06-18 08:20:00;0.50;24.1
2024-06-18 08:25:00;0.50;24.1
2024-06-18 08:30:00;0.51;24.1
2024-06-18 08:35:00;0.51;24.2
2024-06-18 08:40:00;0.52;24.2
2024-06-18 08:45:00;0.52;24.2
2024-06-18 08:50:00;0.53;24.2
2024-06-18 08:55:00;0.53;24.2
2024-06-18 08:56:00;0.53;24.2
2024-06-18 09:00:00;0.53;24.2
2024-06-18 09:05:00;0.53;24.2
2024-06-18 09:10:00;0.53;24.2
2024-06-18 09:15:00;0.53;24.3
2024-06-18 09:20:00;0.53;24.2
2024-06-18 09:25:00;0.54;24.2
2024-06-18 09:30:00;0.54;24.2
2024-06-18 09:35:00;0.54;24.2
2024-06-18 09:40:00;0.54;24.2
2024-06-18 09:41:00;0.54;24.2
2024-06-18 09:45:00;0.54;24.2
2024-06-18 09:50:00;0.54;24.2
2024-06-18 09:55:00;0.53;24.3
2024-06-18 10:00:00;0.53;24.3
2024-06-18 10:05:00;0.52;24.3
2024-06-18 10:10:00;0.53;24.3
2024-06-18 10:15:00;0.53;24.3
2024-06-18 10:20:00;0.51;24.3
2024-06-18 10:25:00;0.52;24.4
2024-06-18 10:26:00;0.52;24.4
2024-06-18 10:30:00;0.50;24.4
2024-06-18 10:35:00;0.49;24.4
2024-06-18 10:40:00;0.52;24.4
2024-06-18 10:45:00;0.50;24.4
2024-06-18 10:50:00;0.50;24.4
2024-06-18 10:55:00;0.48;24.5
2024-06-18 11:00:00;0.48;24.5
2024-06-18 11:05:00;0.48;24.5
2024-06-18 11:10:00;0.46;24.5
2024-06-18 11:11:00;0.46;24.5
2024-06-18 11:15:00;0.46;24.5
2024-06-18 11:20:00;0.45;24.5
2024-06-18 11:25:00;0.44;24.6
2024-06-18 11:30:00;0.43;24.6
2024-06-18 11:35:00;0.43;24.6
2024-06-18 11:40:00;0.42;24.6
2024-06-18 11:45:00;0.42;24.6
2024-06-18 11:50:00;0.41;24.6
2024-06-18 11:55:00;0.40;24.6
2024-06-18 11:56:00;0.4;24.6
2024-06-18 12:00:00;0.39;24.6
2024-06-18 12:05:00;0.38;24.7
2024-06-18 12:10:00;0.38;24.7
2024-06-18 12:15:00;0.37;24.7
2024-06-18 12:20:00;0.37;24.7
2024-06-18 12:25:00;0.36;24.8
2024-06-18 12:30:00;0.36;24.8
2024-06-18 12:35:00;0.35;24.8
2024-06-18 12:40:00;0.34;24.8
2024-06-18 12:41:00;0.34;24.8
2024-06-18 12:45:00;0.34;24.8
2024-06-18 12:50:00;0.34;24.8
2024-06-18 12:55:00;0.33;24.9
2024-06-18 13:00:00;0.33;24.9
2024-06-18 13:05:00;0.33;24.9
2024-06-18 13:10:00;0.32;24.9
2024-06-18 13:15:00;0.32;24.9
2024-06-18 13:20:00;0.32;24.9
2024-06-18 13:25:00;0.31;25.0
2024-06-18 13:26:00;0.31;25
2024-06-18 13:30:00;0.32;25.0
2024-06-18 13:35:00;0.32;25.0
2024-06-18 13:40:00;0.31;25.0
2024-06-18 13:45:00;0.32;25.0
2024-06-18 13:50:00;0.31;25.0
2024-06-18 13:55:00;0.32;25.0
2024-06-18 14:00:00;0.32;25.0
2024-06-18 14:05:00;0.32;25.0
2024-06-18 14:10:00;0.32;25.0
2024-06-18 14:11:00;0.32;25
2024-06-18 14:15:00;0.32;25.1
2024-06-18 14:20:00;0.32;25.1
2024-06-18 14:25:00;0.33;25.1
2024-06-18 14:30:00;0.33;25.1
2024-06-18 14:35:00;0.34;25.1
2024-06-18 14:40:00;0.34;25.1
2024-06-18 14:45:00;0.35;25.1
2024-06-18 14:50:00;0.34;25.0
2024-06-18 14:55:00;0.35;25.0
2024-06-18 14:56:00;0.35;25
2024-06-18 15:00:00;0.36;25.0
2024-06-18 15:05:00;0.36;25.0
2024-06-18 15:10:00;0.38;25.0
2024-06-18 15:15:00;0.38;24.9
2024-06-18 15:20:00;0.39;24.8
2024-06-18 15:25:00;0.39;24.8
2024-06-18 15:30:00;0.40;24.8
2024-06-18 15:35:00;0.41;24.8
2024-06-18 15:40:00;0.42;24.8
2024-06-18 15:41:00;0.42;24.8
2024-06-18 15:45:00;0.43;24.8
2024-06-18 15:50:00;0.44;24.8
2024-06-18 15:55:00;0.44;24.8
2024-06-18 16:00:00;0.45;24.8
2024-06-18 16:05:00;0.47;24.8
2024-06-18 16:10:00;0.48;24.8
2024-06-18 16:15:00;0.49;24.8
2024-06-18 16:20:00;0.50;24.9
2024-06-18 16:25:00;0.51;25.0
2024-06-18 16:26:00;0.51;25
2024-06-18 16:30:00;0.52;25.1
2024-06-18 16:35:00;0.53;25.2
2024-06-18 16:40:00;0.54;25.3
2024-06-18 16:45:00;0.55;25.3
2024-06-18 16:50:00;0.56;25.2
2024-06-18 16:55:00;0.57;25.2
2024-06-18 17:00:00;0.58;25.1
2024-06-18 17:05:00;0.59;25.2
2024-06-18 17:10:00;0.60;25.2
2024-06-18 17:11:00;0.6;25.2
2024-06-18 17:15:00;0.61;25.3
2024-06-18 17:20:00;0.62;25.3
2024-06-18 17:25:00;0.62;25.3
2024-06-18 17:30:00;0.63;25.3
2024-06-18 17:35:00;0.64;25.3
2024-06-18 17:40:00;0.65;25.2
2024-06-18 17:45:00;0.66;25.1
2024-06-18 17:50:00;0.67;25.0
2024-06-18 17:55:00;0.67;25.0
2024-06-18 17:56:00;0.67;25
2024-06-18 18:00:00;0.68;24.9
2024-06-18 18:05:00;0.69;24.8
2024-06-18 18:10:00;0.69;24.8
2024-06-18 18:15:00;0.70;24.8
2024-06-18 18:20:00;0.71;24.8
2024-06-18 18:25:00;0.72;24.7
2024-06-18 18:30:00;0.73;24.7
2024-06-18 18:35:00;0.73;24.7
2024-06-18 18:40:00;0.74;24.7
2024-06-18 18:41:00;0.74;24.7
2024-06-18 18:45:00;0.74;24.6
2024-06-18 18:50:00;0.74;24.5
2024-06-18 18:55:00;0.75;24.4
2024-06-18 19:00:00;0.75;24.4
2024-06-18 19:05:00;0.76;24.4
2024-06-18 19:10:00;0.76;24.4
2024-06-18 19:15:00;0.77;24.4
2024-06-18 19:20:00;0.76;24.4
2024-06-18 19:25:00;0.77;24.5
2024-06-18 19:26:00;0.77;24.5
2024-06-18 19:30:00;0.77;24.5
2024-06-18 19:35:00;0.77;24.5
2024-06-18 19:40:00;0.77;24.5
2024-06-18 19:45:00;0.76;24.5
2024-06-18 19:50:00;0.77;24.4
2024-06-18 19:55:00;0.77;24.4
2024-06-18 20:00:00;0.77;24.4
2024-06-18 20:05:00;0.76;24.4
2024-06-18 20:10:00;0.76;24.4
2024-06-18 20:11:00;0.76;24.4
2024-06-18 20:15:00;0.76;24.4
2024-06-18 20:20:00;0.76;24.4
2024-06-18 20:25:00;0.76;24.4
2024-06-18 20:30:00;0.75;24.4
